ACCT_ID,FIRST_YR_CUSTOMER,COUNTRY,ACCT_MGR_STATUS,ACCT_REVENUE_CAT,ACCT_EMPLOYEE_CAT,ACCT_TYPE
10000954,2016,GERMANY,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate
10042032,2016,GERMANY,SENIOR MANAGER,$1bn+,5000+ employees,Corporate
10061701,2016,UNITED STATES,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Research
10113772,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Corporate
10125278,2016,BELGIUM,SENIOR MANAGER,Less than $20m,11 - 50 employees,Research
10137786,2016,NETHERLANDS,MANAGER,$50-$100m,51 - 100 employees,Academic
10177158,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic
10201519,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Academic
10203040,2016,SPAIN,SENIOR MANAGER,$1bn+,5000+ employees,Corporate
10332586,2016,BELGIUM,MANAGER,$20-$50m,11 - 50 employees,Research
10338385,2016,FRANCE,MANAGER,$1bn+,1001 - 5000 employees,Academic
10377356,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic
10383180,2016,NETHERLANDS,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Academic
10397060,2016,NETHERLANDS,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research
10418999,2016,SPAIN,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Corporate
10440101,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Corporate
10453467,2016,GERMANY,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research
10544780,2016,FRANCE,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research
10548628,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Academic
10624908,2016,GERMANY,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Research
10628765,2016,FRANCE,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Academic
10630588,2016,UNITED KINGDOM,SENIOR MANAGER,$20-$50m,11 - 50 employees,Academic
