ACCT_ID,NPS_SCORE_2015,NPS_SCORE_2016
10256127,0,NA
12304211,0,NA
12311556,0,6
12524563,0,NA
12702804,0,NA
13096458,0,NA
14546590,0,NA
14736809,0,NA
14999442,0,NA
15379535,0,NA
15513661,0,NA
16211459,0,NA
17034798,0,NA
19069736,0,NA
21040131,0,NA
23147710,0,NA
26396776,0,10
26452572,0,NA
27095033,0,NA
27195601,0,NA
31152638,0,NA
31866033,0,NA
32751935,0,8
34095107,0,NA
34214885,0,NA
34919811,0,NA
36331227,0,NA
37047491,0,NA
37118482,0,9
38040326,0,NA
38877006,0,NA
39048201,0,NA
40939896,0,NA
41183484,0,NA
42581741,0,10
43359795,0,8
44300339,0,NA
44504357,0,NA
45424097,0,8
45620872,0,NA
49776110,0,NA
51896962,0,NA
53163931,0,NA
53995104,0,NA
55581239,0,NA
56577943,0,NA
56652873,0,NA
57029652,0,NA
57198808,0,NA
57955868,0,NA
58859992,0,10
61069712,0,7
62833140,0,NA
63726680,0,9
66862477,0,NA
68101442,0,NA
69523035,0,NA
69728286,0,7
71365640,0,NA
74703793,0,9
75425185,0,NA
76065063,0,NA
76452711,0,8
77631677,0,NA
77978861,0,NA
78919545,0,NA
79419611,0,NA
80014882,0,NA
80433625,0,9
80529009,0,NA
81120293,0,NA
81184691,0,NA
81750704,0,1
82093890,0,NA
82505561,0,NA
82704443,0,NA
83073139,0,NA
84375500,0,10
84577573,0,NA
84990200,0,NA
85446134,0,NA
86373695,0,NA
87876227,0,NA
89153600,0,5
89455174,0,9
92184987,0,NA
92191606,0,NA
93065156,0,NA
93364154,0,10
93532952,0,NA
94762052,0,NA
94950492,0,NA
96678114,0,NA
96751908,0,NA
99741636,0,NA
99796246,0,NA
10110252,1,9
11061686,1,NA
11340746,1,7
11482603,1,NA
11877716,1,NA
11886664,1,4
12422215,1,2
14103358,1,NA
15997259,1,NA
17115576,1,NA
17302746,1,NA
17955275,1,1
21718257,1,5
26225312,1,NA
26276249,1,NA
27413859,1,NA
27752479,1,NA
30517461,1,NA
33124299,1,NA
34313020,1,3
36379303,1,NA
37676938,1,NA
38352082,1,NA
39910469,1,NA
41875599,1,NA
42022319,1,NA
42244864,1,NA
45992279,1,NA
47139399,1,2
47273182,1,NA
47339309,1,NA
48158065,1,NA
48473012,1,NA
48956448,1,NA
53940752,1,6
54665203,1,NA
55515149,1,NA
57448643,1,NA
59087811,1,9
60699268,1,4
60958405,1,NA
61347011,1,2
61904522,1,NA
61913789,1,NA
62367814,1,NA
64419570,1,7
65674068,1,9
66052396,1,NA
67424136,1,NA
67567989,1,NA
67950450,1,NA
71206305,1,9
73603357,1,NA
76558793,1,NA
76694395,1,5
78511742,1,NA
78588493,1,NA
81153715,1,NA
81546095,1,NA
82377435,1,NA
84625036,1,9
84757640,1,NA
86611041,1,NA
86701995,1,NA
86844631,1,NA
86885772,1,8
87477880,1,NA
89230021,1,3
92468777,1,1
92709583,1,NA
94181133,1,NA
98672384,1,NA
99410814,1,NA
99930647,1,NA
11070461,2,NA
11304786,2,NA
12373375,2,NA
12722115,2,NA
14283860,2,0
14712086,2,NA
15836973,2,NA
16587337,2,NA
17988995,2,NA
19709301,2,NA
19859232,2,NA
19959958,2,NA
20144526,2,3
22567441,2,NA
23898170,2,NA
23943380,2,9
25703021,2,NA
25977921,2,NA
27260104,2,NA
28398774,2,NA
28992342,2,NA
29343371,2,NA
29781061,2,NA
30232109,2,8
31114957,2,NA
31437104,2,NA
33487142,2,7
35045807,2,NA
37149616,2,NA
43617368,2,NA
44123119,2,2
45692428,2,NA
46947731,2,9
47909016,2,NA
50193294,2,2
51810403,2,NA
51927048,2,NA
52376292,2,NA
52419400,2,NA
54688974,2,NA
55482808,2,0
57257326,2,9
58103904,2,NA
58696494,2,NA
60271397,2,NA
61044365,2,NA
65029969,2,NA
67242102,2,9
67855832,2,NA
67902830,2,10
68018018,2,NA
68730284,2,NA
68990204,2,NA
69675778,2,NA
70704678,2,8
70987510,2,NA
71303067,2,NA
