ACCT_ID,MEDICAL_REVENUE_2015,SCIENTIFIC_REVENUE_2015,TECHNICAL_REVENUE_2015,MEDICAL_REVENUE_2016,SCIENTIFIC_REVENUE_2016,TECHNICAL_REVENUE_2016
10000954,NA,NA,NA,62.7,41.8,52.25
10003769,264,NA,228,NA,NA,239.4
10031857,237.6,172.8,205.2,277.2,NA,239.4
10042032,NA,NA,NA,275.88,200.64,238.26
10047110,105.28,71.44,88.36,153.97,106.6,130.28
10056965,57,38,47.5,NA,NA,NA
10061701,NA,NA,NA,290.4,211.2,NA
10066053,176.64,125.12,150.88,NA,NA,NA
10089726,105.28,71.44,88.36,163.8,NA,138.6
10107876,176.64,125.12,150.88,NA,201.6,239.4
10110252,60,NA,50,NA,113.4,NA
10113772,NA,NA,NA,NA,NA,55
10124355,57,38,47.5,NA,NA,NA
10125278,NA,NA,NA,62.7,41.8,52.25
10128516,57,38,47.5,163.8,NA,138.6
10137786,NA,NA,NA,NA,149.6,NA
10148939,57,38,47.5,111.72,75.81,93.77
10151112,60,NA,50,117.6,79.8,NA
10177158,NA,NA,NA,NA,118.8,NA
10180093,60,NA,NA,NA,NA,138.6
10186905,176.64,125.12,150.88,201.6,NA,172.2
10190960,105.28,71.44,88.36,NA,79.8,98.7
10196017,NA,40,50,NA,NA,NA
10201519,NA,NA,NA,290.4,NA,NA
10203040,NA,NA,NA,200.64,142.12,171.38
10214838,237.6,172.8,205.2,NA,201.6,239.4
10242185,273,182,227.5,252.25,183.46,217.85
10254816,NA,40,50,NA,NA,NA
10256127,57,38,47.5,117.6,NA,98.7
10259355,NA,40,50,NA,NA,NA
10261516,NA,NA,50,NA,NA,NA
10329532,60,NA,50,NA,42,NA
10332586,NA,NA,NA,NA,NA,250.8
10338385,NA,NA,NA,NA,NA,103.4
10353404,145.08,100.44,122.76,292.95,195.3,244.13
10376691,57,38,47.5,NA,NA,NA
10377356,NA,NA,NA,117.04,79.42,98.23
10381558,NA,NA,50,NA,NA,NA
10383180,NA,NA,NA,275.88,200.64,238.26
10385714,176.64,125.12,150.88,185.47,131.38,158.42
10397060,NA,NA,NA,290.4,NA,250.8
10410122,300,NA,NA,NA,NA,NA
10415419,NA,NA,50,NA,42,NA
10418999,NA,NA,NA,66,NA,55
10440101,NA,NA,NA,313.5,209,261.25
10444136,60,NA,NA,NA,NA,138.6
10448542,NA,136,164,201.6,NA,172.2
10453467,NA,NA,NA,66,NA,NA
10458858,60,40,NA,NA,NA,NA
10458885,60,NA,50,NA,79.8,NA
10479161,60,NA,NA,117.6,NA,NA
10507303,57,38,47.5,117.6,NA,98.7
10511330,57,38,47.5,111.72,75.81,93.77
10526577,57,38,47.5,59.85,39.9,49.88
10544780,NA,NA,NA,NA,NA,55
10548628,NA,NA,NA,NA,44,NA
10555219,57,38,47.5,59.85,39.9,49.88
10557758,57,38,47.5,NA,NA,NA
10617480,NA,NA,50,NA,NA,NA
10624908,NA,NA,NA,66,NA,55
10628765,NA,NA,NA,NA,44,55
10630588,NA,NA,NA,NA,44,NA
10650466,57,38,47.5,NA,NA,NA
