ACCT_ID,MEDICAL_NO_SESSIONS_2015,SCIENTIFIC_NO_SESSIONS_2015,TECHNICAL_NO_SESSIONS_2015,MEDICAL_NO_SESSIONS_2016,SCIENTIFIC_NO_SESSIONS_2016,TECHNICAL_NO_SESSIONS_2016
10526577,1,3,4,11,9,NA
10823393,1,1,1,NA,1,1
10827364,1,6,2,NA,NA,NA
10906971,1,NA,2,NA,NA,12
11030897,1,NA,22,22,14,17
11325830,1,9,3,NA,NA,NA
12453471,1,1,NA,8,4,10
12524563,1,NA,43,74,NA,30
12612450,1,5,1,NA,NA,NA
12769684,1,8,NA,NA,NA,NA
13020358,1,15,NA,NA,NA,NA
13168955,1,3,NA,NA,NA,NA
13722223,1,8,NA,NA,NA,NA
14008984,1,NA,NA,NA,NA,NA
14726833,1,22,1,1,NA,NA
14736809,1,NA,2,NA,NA,2
14750993,1,NA,22,16,NA,NA
14897456,1,NA,NA,NA,NA,NA
14960489,1,NA,10,29,15,NA
16775604,1,NA,NA,NA,NA,NA
16833518,1,5,1,6,13,5
17356563,1,18,NA,NA,NA,NA
17611375,1,1,4,11,NA,117
17690636,1,NA,NA,34,NA,16
17766982,1,1,2,13,NA,NA
17781803,1,NA,NA,NA,NA,NA
17819943,1,51,5,49,NA,54
17829669,1,NA,NA,NA,NA,NA
18105837,1,NA,7,NA,NA,96
18264431,1,NA,2,NA,1,NA
18524890,1,1,1,NA,NA,NA
18577971,1,NA,1,7,NA,NA
18587234,1,1,2,NA,NA,NA
18859099,1,NA,7,NA,68,30
18943946,1,NA,5,NA,NA,1
18973437,1,12,NA,NA,NA,NA
19002854,1,12,NA,NA,NA,NA
19070735,1,NA,1,NA,NA,NA
19444156,1,NA,8,105,NA,29
19488507,1,NA,5,19,7,33
19564114,1,14,26,118,9,3
19575113,1,15,1,NA,NA,NA
19634732,1,6,2,NA,NA,NA
20017786,1,8,2,22,NA,NA
20032486,1,NA,NA,NA,NA,NA
20253721,1,NA,4,NA,8,NA
20460561,1,4,NA,NA,NA,NA
20570284,1,NA,3,NA,NA,63
20627731,1,NA,1,NA,60,NA
21121797,1,NA,NA,22,6,26
21339736,1,NA,3,NA,NA,27
21568936,1,1,5,20,NA,7
21670425,1,NA,1,NA,66,NA
21774305,1,6,8,8,NA,25
21841795,1,NA,106,NA,NA,NA
21914964,1,2,9,2,81,NA
22216721,1,4,11,NA,NA,NA
22552058,1,8,5,10,NA,41
22567441,1,NA,NA,NA,64,5
22604046,1,NA,NA,14,NA,NA
22708347,1,7,NA,20,NA,66
23432739,1,NA,4,39,20,NA
23736696,1,3,4,5,29,NA
23758488,1,1,1,NA,17,1
23820742,1,2,1,19,NA,46
23839746,1,NA,142,NA,NA,90
23863818,1,133,NA,NA,NA,192
23923328,1,11,3,NA,NA,NA
24117288,1,13,NA,NA,NA,NA
24242616,1,NA,NA,NA,NA,NA
24280694,1,1,1,NA,NA,NA
24464970,1,15,5,32,13,NA
24696401,1,7,9,7,2,NA
25023365,1,NA,6,8,NA,5
25343717,1,7,NA,3,NA,8
25505671,1,11,4,NA,19,7
25592112,1,8,NA,85,16,13
25742485,1,3,3,NA,22,4
25750762,1,NA,NA,20,NA,63
25846458,1,4,NA,NA,NA,NA
25887258,1,4,NA,NA,NA,NA
26513900,1,NA,NA,NA,NA,NA
26801760,1,NA,1,67,NA,6
27012495,1,NA,3,79,29,13
27339350,1,NA,6,6,NA,NA
27462935,1,NA,19,132,NA,2
27667604,1,NA,12,NA,3,NA
27796573,1,1,2,67,70,12
27832842,1,1,6,NA,NA,NA
27885523,1,9,1,NA,NA,NA
27924461,1,8,2,NA,NA,NA
28237834,1,13,NA,NA,NA,NA
28310840,1,3,3,NA,71,36
28442310,1,9,4,74,10,1
28520830,1,NA,NA,NA,NA,NA
28619941,1,NA,NA,96,8,5
28665122,1,1,8,NA,30,23
28690169,1,7,NA,NA,NA,NA
29113335,1,4,NA,NA,4,NA
29316991,1,NA,15,1,15,NA
29612913,1,NA,NA,NA,NA,NA
29653082,1,14,3,10,4,NA
29705411,1,NA,NA,NA,NA,NA
