ACCT_ID,USERS_2015,USERS_2016
10000954,NA,1
10003769,6,6
10031857,6,6
10042032,NA,6
10047110,2,3
10056965,1,NA
10061701,NA,6
10066053,4,NA
10089726,2,3
10107876,4,6
10110252,1,3
10113772,NA,1
10124355,1,NA
10125278,NA,1
10128516,1,3
10137786,NA,4
10148939,1,2
10151112,1,2
10177158,NA,3
10180093,1,3
10186905,4,4
10190960,2,2
10196017,1,NA
10201519,NA,6
10203040,NA,4
10214838,6,6
10242185,5,6
10254816,1,NA
10256127,1,2
10259355,1,NA
10261516,1,NA
10329532,1,1
10332586,NA,6
10338385,NA,2
10353404,3,5
10376691,1,NA
10377356,NA,2
10381558,1,NA
10383180,NA,6
10385714,4,4
10397060,NA,6
10410122,5,NA
10415419,1,1
10418999,NA,1
10440101,NA,5
10444136,1,3
10448542,4,4
10453467,NA,1
10458858,1,NA
10458885,1,2
10479161,1,2
10507303,1,2
10511330,1,2
10526577,1,1
10544780,NA,1
10548628,NA,1
10555219,1,1
10557758,1,NA
10617480,1,NA
10624908,NA,1
10628765,NA,1
10630588,NA,1
10650466,1,NA
10660929,5,5
10663409,NA,5
10664425,1,1
10675173,NA,5
10688483,NA,5
10691131,NA,6
10714427,6,6
10721000,NA,6
10727571,NA,2
10731463,NA,6
10754124,NA,1
10756486,1,3
10770373,1,1
10773598,6,6
10776222,NA,6
10784433,1,3
10799961,1,NA
10814539,6,6
10818064,1,3
10823393,1,1
10827364,1,NA
10836382,1,NA
10849085,6,6
10851090,1,1
10880573,1,NA
10884456,1,1
10896501,NA,1
10906971,1,3
10910366,4,6
10961362,1,NA
10966877,NA,6
10974288,1,NA
10986290,NA,1
10992575,1,1
11001257,6,6
11009079,2,NA
11009367,NA,1
11020575,4,4
11030401,1,3
11030897,1,2
11033316,1,3
11043561,1,3
11045141,NA,2
11057323,4,4
11059610,NA,1
11059916,1,2
11061686,1,NA
11070461,1,NA
11079375,1,2
11085069,1,1
11108050,1,3
11114455,NA,6
11121576,1,NA
11122002,2,2
11140367,NA,6
11143927,NA,6
11155717,1,NA
11172054,2,NA
11190265,1,NA
11190602,2,4
11194404,NA,1
11194606,5,5
11219368,NA,1
11221015,1,NA
11236234,1,NA
11251679,1,3
11252198,1,2
11252909,NA,1
11254225,2,2
11254516,1,1
11257056,6,6
11293292,1,3
11296397,1,NA
11304786,4,5
11325830,2,NA
11332140,NA,1
11333327,5,NA
11340746,1,3
11342562,6,6
11346156,4,5
11348550,1,NA
11367956,1,1
11372848,1,NA
11385340,1,2
11399493,1,NA
11406891,1,2
11411461,2,4
11412385,5,6
