ACCT_ID,FIRST_YR_CUSTOMER,COUNTRY,ACCT_MGR_STATUS,ACCT_REVENUE_CAT,ACCT_EMPLOYEE_CAT,ACCT_TYPE,NPS_SCORE_2015,NPS_SCORE_2016,MEDICAL_REVENUE_2015,SCIENTIFIC_REVENUE_2015,TECHNICAL_REVENUE_2015,MEDICAL_REVENUE_2016,SCIENTIFIC_REVENUE_2016,TECHNICAL_REVENUE_2016,MEDICAL_NO_SESSIONS_2015,SCIENTIFIC_NO_SESSIONS_2015,TECHNICAL_NO_SESSIONS_2015,MEDICAL_NO_SESSIONS_2016,SCIENTIFIC_NO_SESSIONS_2016,TECHNICAL_NO_SESSIONS_2016,USERS_2015,USERS_2016,STATUS
10000954,2016,GERMANY,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,,,,,,62.7,41.8,52.25,,,,3.0,12.0,4.0,,1.0,Active
10042032,2016,GERMANY,SENIOR MANAGER,$1bn+,5000+ employees,Corporate,,7.0,,,,275.88,200.64,238.26,,,,8.0,,2.0,,6.0,Active
10061701,2016,UNITED STATES,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Research,,7.0,,,,290.4,211.2,,,,,11.0,174.0,,,6.0,Active
10113772,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Corporate,,,,,,,,55.0,,,,,,43.0,,1.0,Active
10125278,2016,BELGIUM,SENIOR MANAGER,Less than $20m,11 - 50 employees,Research,,,,,,62.7,41.8,52.25,,,,,,,,1.0,Active
10137786,2016,NETHERLANDS,MANAGER,$50-$100m,51 - 100 employees,Academic,,,,,,,149.6,,,,,,,,,4.0,Active
10177158,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic,,,,,,,118.8,,,,,,18.0,,,3.0,Active
10201519,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Academic,,,,,,290.4,,,,,,186.0,,,,6.0,Active
10203040,2016,SPAIN,SENIOR MANAGER,$1bn+,5000+ employees,Corporate,,,,,,200.64,142.12,171.38,,,,91.0,68.0,3.0,,4.0,Active
10332586,2016,BELGIUM,MANAGER,$20-$50m,11 - 50 employees,Research,,,,,,,,250.8,,,,,,60.0,,6.0,Active
10338385,2016,FRANCE,MANAGER,$1bn+,1001 - 5000 employees,Academic,,,,,,,,103.4,,,,,,46.0,,2.0,Active
10377356,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic,,,,,,117.04,79.42,98.23,,,,3.0,23.0,26.0,,2.0,Active
10383180,2016,NETHERLANDS,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Academic,,8.0,,,,275.88,200.64,238.26,,,,,60.0,10.0,,6.0,Active
10397060,2016,NETHERLANDS,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research,,,,,,290.4,,250.8,,,,184.0,,61.0,,6.0,Active
10418999,2016,SPAIN,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Corporate,,,,,,66.0,,55.0,,,,33.0,,7.0,,1.0,Active
10440101,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Corporate,,10.0,,,,313.5,209.0,261.25,,,,62.0,19.0,13.0,,5.0,Active
10453467,2016,GERMANY,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research,,,,,,66.0,,,,,,17.0,,,,1.0,Active
